"District.Name","Subdistrict.Name","Facility.Name","Latitude","Longitude","newDist"
"East Khasi Hills","Shella Bholaganj Block","Ichamati CHC",25.16863611,91.69027778,4
"West Jaintia Hills","Amlarem Block","Nongtalang CHC",25.21,92.06,9
"South West Khasi Hills","Ranikor Block","Ranikor CHC",25.21,91.24,8
"West Garo Hills","Dalu Block","Dalu CHC",25.24,90.2,7
"South West Garo Hills","Zikzak Block","Mahendraganj CHC",25.29835278,89.86388889,11
"East Khasi Hills","Pynursla Block","Pynursla CHC",25.31,91.89,4
"South Garo Hills","Chokpot Block","Chokpot CHC",25.35,90.42,7
"East Jaintia Hills","Saipung Block","Sutnga CHC",25.35,92.12,9
"East Khasi Hills","Shella Bholaganj Block","Sohra CHC",25.36,91.72,4
"South West Khasi Hills","Mawkyrwat Block","Mawkyrwat CHC",25.36,91.49,4
"East Jaintia Hills","Khliehriat Block","Khliehriat CHC",25.37,92.42,9
"South West Garo Hills","Betasing Block","Ampati CHC",25.47,89.92,11
"East Khasi Hills","Mylliem Block","Mawiong CHC",25.5,91.84,4
"East Khasi Hills","Mawphlang Block","Sohiong CHC",25.50972222,91.71722222,4
"West Jaintia Hills","Laskein Block","Laskein CHC",25.51605833,92.41141389,9
"West Jaintia Hills","Thadlaskein Block","Ummulong CHC",25.53,92.13,9
"West Garo Hills","Dalu Block","Allagre CHC",25.59,90.23,2
"East Khasi Hills","Mawsynram Block","Mawsynram CHC",25.59,91.49,8
"West Khasi Hills","Mawshynrut Block","Riangdo CHC",25.67,91.06,6
"West Khasi Hills","Mairang Block","Nongkhlaw CHC",25.68709444,91.63777778,3
"West Garo Hills","Selsella Block","Selsella CHC",25.69,90.02,2
"West Garo Hills","Dadenggiri Block","Dadenggre CHC",25.7,90.2,2
"Ri Bhoi","Umsning Block","Bhoirymbong CHC",25.70835833,92.02166667,3
"Ri Bhoi","Umsning Block","Umsning CHC",25.74,91.88,3
"North Garo Hills","Resubelpara Block","Resubelpara CHC",25.84,90.49,1
"East Garo Hills","Dambo Rongjeng Block","Rongjeng CHC",25.86,90.98,6
"West Garo Hills","Selsella Block","Phulbari CHC",25.88835278,90.03694444,5
"Ri Bhoi","Jirang Block","Patharkhmah CHC",25.9,91.61,3
"South Garo Hills","Baghmara Block","Baghmara Civil Hospital",25.19869444,90.63083333,10
"East Khasi Hills","Urban Block","Military Hospital",25.33,91.52,4
"East Khasi Hills","Urban Block","NEIGRIHMS",25.35,91.56,4
"West Jaintia Hills","Urban Block","Jowai Civil Hospital",25.46783333,92.26083333,9
"West Garo Hills","Tura Urban Block","Tura Maternity and Child Hospital",25.5,90.22,7
"West Khasi Hills","Nongstoin Block","Nongstoin DH",25.51,91.29,8
"West Garo Hills","Tura Urban Block","Tura Civil Hospital",25.51444722,90.20333333,2
"East Garo Hills","Urban Block","Williamnagar Civil Hospital",25.52,90.63,10
"West Khasi Hills","Mairang Block","Mairang DH",25.56,91.63,4
"East Khasi Hills","Urban Block","Ganesh Das Hospital",25.58,91.87,3
"East Khasi Hills","Urban Block","Shillong Civil Hospital",25.58,91.87,3
"Ri Bhoi","Umling Block","Nongpoh DH",25.9,91.9,3
"East Jaintia Hills","Khliehriat Block","Umkiang PHC",25.06222222,92.38444444,9
"East Khasi Hills","Mawsynram Block","Ryngku PHC",25.16747222,91.55833333,4
"East Jaintia Hills","Khliehriat Block","Lumshnong PHC",25.18416667,92.37638889,9
"South Garo Hills","Rongara Block","Moheskola PHC",25.18558056,90.96666667,10
"South Garo Hills","Rongara Block","Rongara PHC",25.185806,90.966778,10
"West Jaintia Hills","Amlarem Block","Dawki PHC",25.19027778,92.02,9
"East Khasi Hills","Mawsynram Block","Dangar PHC",25.19119444,91.38333333,8
