"","States_UTs","ID","Deathrate","medicalandpublichealthexp","SCs","PHCs","CHCs","SubDivHosps","DistHosps","hwdensity","docdensity","fliteracyrate","oopexp","pcinc","socialstrata","area","phc","phcareawise","Deathratelog","PHCslog","SCslog","healthexp","hwdenslog","hwdens","noofSCs","noofPHCs","DR","hcexp","flr","docdens","phcareareawise","inc","oopexpraw","oop","expperkm2","govtexpperkm2","Population","Female.Population","Population.Density.km2.","flitrate","literacyrate","expperperson","perareaspend","expenditure","drdensity","scaspend","expperpersonscale","drdensityscale"
"1","Andhra Pradesh",2,7.1,49692044,7659,1075,193,31,8,212.7,86.1,59.74,22,98930.79915,1,162968,8734,18.6590336615526,1.96009478404727,6.98007594056176,8.94363670590959,17.7213553977697,5.35988272220619,-0.0363469626129023,0.649716160963422,0.53537910800966,0.758652069789555,1.27033667808645,-0.87123548173617,0.707606679645918,-0.208923533840499,0.176325934252695,21764.775813,0.724975630118099,304.919027048255,0.340769475965503,49386799,42155652,303,25183786.5048,0.729535311493406,1.00618070023125,304.919027048255,0.114777642100501,2151.3,0.340769475965503,0.114777642100501,-0.231151746951624
"2","Assam",4,7.1,15230239,4621,1014,151,14,25,148.5,40.3,67.27,4,51570.6045,1,78438,5635,13.9197870452529,1.96009478404727,6.92165818415113,8.43836641087027,16.53879341746,5.00058495824275,-0.969210189518009,0.265384174353418,0.48917649924043,0.758652069789555,-0.443301955016041,-0.14223948800035,-1.11663024381615,-0.604373375648401,-1.03748673793843,2062.82418,-1.51696249143941,194.169139957674,-0.331271693726716,31169272,15214345,397,10234689.8815,-0.333977512076702,0.488629923727445,194.169139957674,-0.564632700997566,2818.7,-0.331271693726716,-0.564632700997566,0.116953900326439
"3","Bihar",5,6.2,22128562,9729,1802,151,55,36,110.2,52.6,53.33,13,36456.05368,0,94163,11531,8.16607406122626,1.82454929205105,7.49665243816828,9.18286639497543,16.9123797302504,4.70229689671881,-1.74367079442399,0.831685341731528,0.943939506161971,0.0934814922321423,-0.100277763554813,-1.49180179247277,-0.476562869311668,-1.17324935310407,-1.42486338314385,4739.2869784,-1.21240058354127,235.002729309814,-0.0834894713529842,103804637,49619290,1102,26461967.357,0.820468012071295,0.213175081957081,235.002729309814,-0.926233682102174,6832.4,-0.0834894713529842,-0.926233682102174,2.21043852196258
"4","Chhattisgarh",7,7.5,14021380,5186,790,155,13,24,165.3,53.8,60.59,15,66400.54443,0,135191,5976,22.6223226238286,2.01490302054226,6.67203294546107,8.55371796609861,16.4560938655398,5.10776200482698,-0.690940922201074,0.353125909449902,0.2917478756375,1.02761583824373,-0.5034133590581,-0.78894509731712,-0.422358146205071,0.0923888904262492,-0.657404494867092,9960.0816645,-0.618312299820809,103.715336080065,-0.880154241221329,25540196,12712281,189,7702371.0579,-0.514132447865194,0.548992654559112,103.715336080065,-0.485392043797282,1417.5,-0.880154241221329,-0.485392043797282,-0.613890620150068
"5","Gujarat",12,6.1,44860500,9156,1342,331,33,22,174.6,63.4,70.73,13,127276.1977,1,196024,10498,18.6725090493427,1.80828877117927,7.20191631753163,9.12216468107246,17.6190682327811,5.1624976434055,-0.548827974244437,0.785512806904115,0.710832681993399,0.0136852562941153,1.03008459448449,0.192730782693667,-0.0278128705063545,-0.207860480958343,0.902801072553206,16545.905701,0.131106348866173,228.852079337224,-0.120812218224644,60383628,28901346,308,20441922.0258,0.392188259151266,0.742924886858405,228.852079337224,-0.23080916909983,1878.8,-0.120812218224644,-0.23080916909983,-0.373283585254398
"6","Haryana",13,6.1,16200916,2576,474,110,23,20,204.8,107.3,66.77,12,148205.902,1,44212,3050,14.495737704918,1.80828877117927,6.16120732169508,7.85399308722424,16.600578341814,5.32203389316535,-0.134615820187005,-0.179117239253897,-0.112264155880058,0.0136852562941153,-0.395034326333677,-0.190645596482144,1.23654752241952,-0.553663548183496,1.43921652633878,17784.70824,0.272073025112319,366.437075906994,0.714067025952133,25353081,11847951,573,7910876.8827,-0.499298868014071,0.639011724058311,366.437075906994,-0.367220282357813,3495.3,0.714067025952133,-0.367220282357813,0.469858127099494
"7","Himachal Pradesh",14,6.6,9395469,2071,518,79,58,12,259.2,87.5,76.6,15,117279.7215,0,55673,2589,21.5036693704133,1.88706964903238,6.24997524225948,7.63578686139558,16.055738109754,5.55759996447812,0.476996462088562,-0.34509500023997,-0.0420575995675192,0.400291415232222,-0.733440190296156,0.76101849626993,0.746365167732014,0.00946193139787096,0.646597533304936,17591.958225,0.250139481948226,168.761679808884,-0.485446652147537,6864602,3382617,673,2591084.622,-0.877761020647783,1.36868371975535,168.761679808884,0.590650371985474,4441.8,-0.485446652147537,0.590650371985474,0.963538071883261
"8","Jammu & Kashmir",15,4.9,13236262,2805,637,84,0,23,220.5,79,58.01,10,72188.65058,1,222236,3442,64.5659500290529,1.58923520511658,6.45676965557216,7.9391588179568,16.3984707423276,5.3958976948869,0.0571605595637301,-0.114336240242295,0.121496120414254,-1.06128953562287,-0.542453929810101,-1.03872061708318,0.500802976789822,2.78208170900723,-0.509058892726342,7218.865058,-0.930242717884832,59.5594863118487,-1.14809626542145,12548926,5883365,57,3412940.0365,-0.819292352308389,1.05477249606859,59.5594863118487,0.17856610534002,279.3,-1.14809626542145,0.17856610534002,-1.20755835723711
"9","Jharkhand",16,5.8,10648816,3953,327,188,12,24,153.8,49.9,56.21,11,58061.11567,0,79714,4280,18.6247663551402,1.75785791755237,5.78996017089725,8.28223006329669,16.1809592702305,5.03565305707154,-0.878161084525024,0.146619637363739,-0.405883560645164,-0.233797116890583,-0.671116587690804,-1.21298260761764,-0.603187874087618,-0.211628163219172,-0.871138926968356,6386.7227237,-1.02493443455234,133.587776300273,-0.69888534610516,32966238,16034550,414,9013020.555,-0.420889853847906,0.323021874682819,133.587776300273,-0.782033247048884,2401.2,-0.69888534610516,-0.782033247048884,-0.100807723495244
"10","Karnataka",17,6.6,40296238,9332,2353,206,146,32,206.2,83.4,68.13,8,97385.88953,1,191791,11685,16.4134360290971,1.88706964903238,7.76344638872736,9.14120463314132,17.5117686726836,5.32884657158286,-0.116927713524952,0.79999547623067,1.15494686551743,0.400291415232222,0.803123305172986,-0.0589809814116639,0.631045274483665,-0.390519751319737,0.136730850490809,7790.8711624,-0.865152603204519,210.104947573139,-0.23457165121445,61130704,30072962,319,20488709.0106,0.395516791942567,0.659181644628205,210.104947573139,-0.340742392116348,2105.4,-0.23457165121445,-0.340742392116348,-0.255092485953816
