"","ID","States_UTs","Deathrate","medicalandpublichealthexp","SCs","PHCs","CHCs","SubDivHosps","DistHosps","hwdensity","docdensity","fliteracyrate","oopexp","pcinc","socialstrata","area","phc","phcareawise","Deathratelog","PHCslog","SCslog","healthexp","noofSCs","noofPHCs","DR","hcexp","flr","docdens","phcareareawise","inc","oopexpraw","oop","expperkm2","govtexpperkm2","hwdenslog","hwdens"
"2",2,"Andhra Pradesh",7.1,49692044,7659,1075,193,31,8,212.7,86.1,59.74,22,98930.79915,1,162968,8734,18.6590336615526,1.96009478404727,6.98007594056176,8.94363670590959,17.7213553977697,0.604034219245398,0.504797133224473,0.764528551393112,1.19227897234921,-0.89216331857591,0.624046642530835,-0.23101519185467,0.129622291335645,21764.775813,0.672334847459942,304.919027048255,0.309799146502529,5.35988272220619,-0.0515288663770366
"7",7,"Chhattisgarh",7.5,14021380,5186,790,155,13,24,165.3,53.8,60.59,15,66400.54443,0,135191,5976,22.6223226238286,2.01490302054226,6.67203294546107,8.55371796609861,16.4560938655398,0.308645272261598,0.26440211216253,1.02566221002488,-0.55749482687533,-0.81185208523839,-0.565044921483773,0.0663194322341559,-0.688670620130544,9960.0816645,-0.682674068308098,103.715336080065,-0.862182529014094,5.10776200482698,-0.696230138739097
"12",12,"Gujarat",6.1,44860500,9156,1342,331,33,22,174.6,63.4,70.73,13,127276.1977,1,196024,10498,18.6725090493427,1.80828877117927,7.20191631753163,9.12216468107246,17.6190682327811,0.739280836568977,0.677920115867293,0.0412493131322187,0.955274438287258,0.146213686576248,-0.149854600314405,-0.229966172950549,0.842645872177406,16545.905701,0.073283703649162,228.852079337224,-0.13327954852948,5.1624976434055,-0.556264902236748
"13",13,"Haryana",6.1,16200916,2576,474,110,23,20,204.8,107.3,66.77,12,148205.902,1,44212,3050,14.495737704918,1.80828877117927,6.16120732169508,7.85399308722424,16.600578341814,-0.221442087092459,-0.134243331938751,0.0412493131322187,-0.450580781561605,-0.227942176972665,1.18066493684915,-0.571204093200162,1.36912895124299,17784.70824,0.215480397956094,366.437075906994,0.668132662299595,5.32203389316535,-0.148312615422703
"14",14,"Himachal Pradesh",6.6,9395469,2071,518,79,58,12,259.2,87.5,76.6,15,117279.7215,0,55673,2589,21.5036693704133,1.88706964903238,6.24997524225948,7.63578686139558,16.055738109754,-0.38674757434368,-0.0649693459267347,0.416600540969747,-0.784412325953693,0.70083361562476,0.664833214079581,-0.0155127598818378,0.591186248374606,17591.958225,0.193355471587493,168.761679808884,-0.483297218597079,5.55759996447812,0.454056549155893
"15",15,"Jammu & Kashmir",4.9,13236262,2805,637,84,0,23,220.5,79,58.01,10,72188.65058,1,222236,3442,64.5659500290529,1.58923520511658,6.45676965557216,7.9391588179568,16.3984707423276,-0.156923476029062,0.0964118512906981,-1.00243066638158,-0.596007676137109,-1.05562029936874,0.406421692755986,2.72050405496711,-0.543071814522456,7218.865058,-0.997326264725308,59.5594863118487,-1.11938380870332,5.3958976948869,0.0405655039416653
"16",16,"Jharkhand",5.8,10648816,3953,327,188,12,24,153.8,49.9,56.21,11,58061.11567,0,79714,4280,18.6247663551402,1.75785791755237,5.78996017089725,8.28223006329669,16.1809592702305,0.102975429959647,-0.423962520671012,-0.199028319531914,-0.722931167600805,-1.22569114643643,-0.755336777503502,-0.233684115851297,-0.898447503180578,6386.7227237,-1.0928442229189,133.587776300273,-0.688179992715764,5.03565305707154,-0.880620897459234
"17",17,"Karnataka",6.6,40296238,9332,2353,206,146,32,206.2,83.4,68.13,8,97385.88953,1,191791,11685,16.4134360290971,1.88706964903238,7.76344638872736,9.14120463314132,17.5117686726836,0.753704845517534,1.11613502560055,0.416600540969747,0.731381043412517,-0.0994442036326346,0.54347907181997,-0.410214052278498,0.0907603579821174,7790.8711624,-0.931668200095634,210.104947573139,-0.242478812172592,5.32884657158286,-0.130891823947823
"18",18,"Kerala",6.6,32836838,4575,824,224,79,18,394,99,91.98,31,114012.6998,1,38863,5399,7.19818484904612,1.88706964903238,6.71417052990947,8.42836197770962,17.3070615528945,0.213679912488722,0.297286046100591,0.416600540969747,0.36547076268616,2.15399452001422,0.977081319977221,-1.29290363291389,0.50900488454186,35343.936938,2.23102702207794,844.938321797082,3.45533149148865,5.97635090929793,1.52485021393074
"20",20,"Madhya Pradesh",7.5,30589017,9192,1171,334,66,51,163,65.1,60.02,15,44989,0,308350,10363,29.7548972305317,2.01490302054226,7.06561336359772,9.12608881952859,17.2361515809262,0.742253628097125,0.571550057132355,1.02566221002488,0.255207093606529,-0.865707853476491,-0.0829431253610249,0.559415461498245,-1.22727430403715,6748.35,-1.05133461856937,99.2022604183558,-0.888470525771465,5.09375020080676,-0.732059910976078
