States_UTs,Population,Female Population,Population Density(km2)
Andhra Pradesh,49386799,42155652,303
Arunachal Pradesh,1382611,662379,611
Assam,31169272,15214345,397
Bihar,103804637,49619290,1102
Chhattisgarh,25540196,12712281,189
Gujarat,60383628,28901346,308
Haryana,25353081,11847951,573
Himachal Pradesh,6864602,3382617,673
Jammu & Kashmir,12548926,5883365,57
Jharkhand,32966238,16034550,414
Karnataka,61130704,30072962,319
Kerala,33387677,17366387,859
Madhya Pradesh,72597565,34984645,236
Maharashtra,112372972,54011575,365
Meghalaya,2964007,1471339,132
Mizoram,1091014,538675,52
Nagaland,1980602,954895,119
Odisha,41947358,20745680,269
Punjab,27704236,13069417,550
Rajasthan,68621012,33000926,201
Sikkim,607688,286027,86
Tamil Nadu,72138958,35980087,555
Tripura,3671032,1799165,350
Uttar Pradesh,199812341,94985062,828
Uttarakhand,10116752,4962574,189
West Bengal,91347736,44420347,1029
