Table Name,State Code,District Code,Thasil Code,Area Name,Total/ Rural/ Urban,Household Size,Total Households With - Male Head,Total Households With - Female Head,Hindu - Male Head,Hindu - Female Head,Muslim - Male Head,Muslim - Female Head,Christian - Male Head,Christian - Female Head,Sikh - Male Head,Sikh - Female Head,Buddhist - Male Head,Buddhist - Female Head,Jain - Male Head,Jain - Female Head,Others - Male Head,Others - Female Head
HH07,07,00,0000,State - DELHI  (07),TOTAL,Total,2490004,238090,2085499,194877,251096,21305,25503,4404,96150,14640,4170,460,26666,2269,459,67
HH07,07,00,0000,State - DELHI  (07),TOTAL,1,112115,18979,98040,15849,10912,1100,945,617,1662,1184,251,42,190,151,30,16
HH07,07,00,0000,State - DELHI  (07),TOTAL,2,182871,26053,157387,21437,15689,1774,2544,903,5679,1636,291,61,1131,208,84,20
HH07,07,00,0000,State - DELHI  (07),TOTAL,3-6,1686358,138025,1437770,114465,134074,10622,20209,2490,71283,8811,2766,264,19706,1320,296,25
HH07,07,00,0000,State - DELHI  (07),TOTAL,7-10,449253,44906,348766,35444,78119,6073,1680,353,15214,2517,766,78,4612,433,43,4
HH07,07,00,0000,State - DELHI  (07),TOTAL,11+,59407,10127,43536,7682,12302,1736,125,41,2312,492,96,15,1027,157,6,2
HH07,07,00,0000,State - DELHI  (07),TOTAL,Mean Household Size,5.04,5,4.94,4.92,5.89,6.07,4.11,3.61,5.08,4.84,5.02,4.62,5.38,5.41,4.06,3.16
HH07,07,00,0000,State - DELHI  (07),RURAL,Total,167575,12003,151165,10818,10628,532,1254,183,3861,418,209,18,399,27,23,4
HH07,07,00,0000,State - DELHI  (07),RURAL,1,6818,837,6262,736,429,27,41,29,65,36,17,4,2,5,1,0
HH07,07,00,0000,State - DELHI  (07),RURAL,2,11047,1242,10061,1086,613,56,120,40,205,52,17,2,28,5,3,1
HH07,07,00,0000,State - DELHI  (07),RURAL,3-6,110981,7278,100926,6601,5858,282,963,103,2753,264,132,8,306,14,14,3
HH07,07,00,0000,State - DELHI  (07),RURAL,7-10,33964,2181,29699,1972,3284,130,121,11,757,61,40,4,52,3,5,0
HH07,07,00,0000,State - DELHI  (07),RURAL,11+,4765,465,4217,423,444,37,9,0,81,5,3,0,11,0,0,0
HH07,07,00,0000,State - DELHI  (07),RURAL,Mean Household Size,5.26,4.94,5.23,4.96,5.82,5.69,4.34,3.25,5.28,4.47,4.82,4.28,4.96,3.78,4.48,3
HH07,07,00,0000,State - DELHI  (07),URBAN,Total,2322429,226087,1934334,184059,240468,20773,24249,4221,92289,14222,3961,442,26267,2242,436,63
HH07,07,00,0000,State - DELHI  (07),URBAN,1,105297,18142,91778,15113,10483,1073,904,588,1597,1148,234,38,188,146,29,16
HH07,07,00,0000,State - DELHI  (07),URBAN,2,171824,24811,147326,20351,15076,1718,2424,863,5474,1584,274,59,1103,203,81,19
HH07,07,00,0000,State - DELHI  (07),URBAN,3-6,1575377,130747,1336844,107864,128216,10340,19246,2387,68530,8547,2634,256,19400,1306,282,22
HH07,07,00,0000,State - DELHI  (07),URBAN,7-10,415289,42725,319067,33472,74835,5943,1559,342,14457,2456,726,74,4560,430,38,4
HH07,07,00,0000,State - DELHI  (07),URBAN,11+,54642,9662,39319,7259,11858,1699,116,41,2231,487,93,15,1016,157,6,2
HH07,07,00,0000,State - DELHI  (07),URBAN,Mean Household Size,5.03,5,4.92,4.92,5.9,6.08,4.09,3.63,5.07,4.85,5.03,4.63,5.39,5.43,4.04,3.17
