Table Name,State Code,District Code,Thasil Code,Area Name,Total/ Rural/ Urban,Household Size,Total Households With - Male Head,Total Households With - Female Head,Hindu - Male Head,Hindu - Female Head,Muslim - Male Head,Muslim - Female Head,Christian - Male Head,Christian - Female Head,Sikh - Male Head,Sikh - Female Head,Buddhist - Male Head,Buddhist - Female Head,Jain - Male Head,Jain - Female Head,Others - Male Head,Others - Female Head
HH07,32,00,0000,State - KERALA  (32),TOTAL,Total,5199358,1514107,3072715,914034,951549,392701,1168802,205795,564,110,358,85,894,166,443,56
HH07,32,00,0000,State - KERALA  (32),TOTAL,1,78317,139370,52052,96455,7430,18772,18320,23799,19,7,15,7,11,19,38,16
HH07,32,00,0000,State - KERALA  (32),TOTAL,2,328467,200964,208696,135254,32652,30882,86567,34580,57,17,39,17,73,17,45,13
HH07,32,00,0000,State - KERALA  (32),TOTAL,3-6,4052067,931146,2472313,562241,615446,237359,959782,130739,434,70,248,49,718,111,333,23
HH07,32,00,0000,State - KERALA  (32),TOTAL,7-10,642035,200010,307081,105202,235551,79283,98751,15361,49,15,47,7,83,16,26,3
HH07,32,00,0000,State - KERALA  (32),TOTAL,11+,98472,42617,32573,14882,60470,26405,5382,1316,5,1,9,5,9,3,1,1
HH07,32,00,0000,State - KERALA  (32),TOTAL,Mean Household Size,4.8,4.4,4.57,4.11,5.98,5.42,4.46,3.7,4.32,4.15,4.66,4.38,4.43,3.99,3.85,3.14
HH07,32,00,0000,State - KERALA  (32),RURAL,Total,3878602,1123613,2254225,673653,718353,295205,901914,153635,303,84,263,77,423,102,270,33
HH07,32,00,0000,State - KERALA  (32),RURAL,1,58494,108736,38199,74745,5457,15197,14590,18612,10,6,12,7,4,8,27,8
HH07,32,00,0000,State - KERALA  (32),RURAL,2,244475,153221,152152,102232,24830,24606,67145,26199,30,14,29,16,33,5,27,7
HH07,32,00,0000,State - KERALA  (32),RURAL,3-6,3020034,701314,1816296,417706,461047,185187,739667,97800,229,53,172,43,350,74,199,15
HH07,32,00,0000,State - KERALA  (32),RURAL,7-10,484862,135527,225986,70369,181570,54746,76849,10289,30,11,42,7,32,12,16,2
HH07,32,00,0000,State - KERALA  (32),RURAL,11+,70737,24815,21592,8601,45449,15469,3663,735,4,0,8,4,4,3,1,1
HH07,32,00,0000,State - KERALA  (32),RURAL,Mean Household Size,4.81,4.26,4.57,4,6,5.17,4.46,3.62,4.53,4.02,4.92,4.32,4.36,4.41,3.86,3.45
HH07,32,00,0000,State - KERALA  (32),URBAN,Total,1320756,390494,818490,240381,233196,97496,266888,52160,261,26,95,8,471,64,173,23
HH07,32,00,0000,State - KERALA  (32),URBAN,1,19823,30634,13853,21710,1973,3575,3730,5187,9,1,3,0,7,11,11,8
HH07,32,00,0000,State - KERALA  (32),URBAN,2,83992,47743,56544,33022,7822,6276,19422,8381,27,3,10,1,40,12,18,6
HH07,32,00,0000,State - KERALA  (32),URBAN,3-6,1032033,229832,656017,144535,154399,52172,220115,32939,205,17,76,6,368,37,134,8
HH07,32,00,0000,State - KERALA  (32),URBAN,7-10,157173,64483,81095,34833,53981,24537,21902,5072,19,4,5,0,51,4,10,1
HH07,32,00,0000,State - KERALA  (32),URBAN,11+,27735,17802,10981,6281,15021,10936,1719,581,1,1,1,1,5,0,0,0
HH07,32,00,0000,State - KERALA  (32),URBAN,Mean Household Size,4.77,4.8,4.55,4.43,5.92,6.2,4.44,3.93,4.06,4.58,3.93,4.88,4.49,3.33,3.83,2.7
