Table Name,State Code,District Code,Thasil Code,Area Name,Total/ Rural/ Urban,Household Size,Total Households With - Male Head,Total Households With - Female Head,Hindu - Male Head,Hindu - Female Head,Muslim - Male Head,Muslim - Female Head,Christian - Male Head,Christian - Female Head,Sikh - Male Head,Sikh - Female Head,Buddhist - Male Head,Buddhist - Female Head,Jain - Male Head,Jain - Female Head,Others - Male Head,Others - Female Head
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,Total,17545691,1976118,14400014,1567352,1532229,173780,202632,45743,41846,4835,1063007,150990,240936,22498,46985,8647
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,1,379395,430604,312719,360395,29272,23214,7461,6975,1231,586,22974,32443,2872,3898,1892,2322
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,2,1410222,338285,1183843,276547,86679,21226,20034,8810,3238,719,92747,25163,15613,3350,6374,2062
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,3-6,12351931,1012033,10305637,798995,876773,88881,156066,25892,30501,2837,757911,78567,180609,12102,32421,3829
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,7-10,2973602,165694,2287008,114200,443738,31085,17230,3593,5970,567,175610,13096,35049,2608,5859,397
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,11+,430541,29502,310807,17215,95767,9374,1841,473,906,126,13765,1721,6793,540,439,37
HH07,27,00,0000,State - MAHARASHTRA  (27),TOTAL,Mean Household Size,5.06,3.55,4.98,3.4,6.09,4.86,4.29,3.59,4.86,4.19,4.95,3.56,5.02,4.04,4.43,2.94
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,Total,10024070,1122697,8801916,969534,483939,53686,30347,5280,6429,578,610952,85170,51850,4407,24958,2531
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,1,168518,311741,144263,271496,7122,11658,1163,1129,245,133,13926,24967,784,1201,552,655
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,2,837368,205647,730541,178325,31449,8322,2979,1011,606,93,64232,16196,3764,850,2483,554
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,3-6,6919525,531831,6116232,459486,284768,26342,22135,2695,4268,291,428841,39260,36606,1944,17421,1191
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,7-10,1850612,65492,1594304,53898,138051,6171,3695,410,1130,55,98057,4423,8656,330,4239,124
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,11+,248047,7986,216576,6329,22549,1193,375,35,180,6,5896,324,2040,82,263,7
HH07,27,00,0000,State - MAHARASHTRA  (27),RURAL,Mean Household Size,5.16,3.12,5.15,3.09,5.88,3.84,4.56,3.38,5.06,3.57,4.83,3.01,5.22,3.28,4.86,3
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,Total,7521621,853421,5598098,597818,1048290,120094,172285,40463,35417,4257,452055,65820,189086,18091,22027,6116
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,1,210877,118863,168456,88899,22150,11556,6298,5846,986,453,9048,7476,2088,2697,1340,1667
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,2,572854,132638,453302,98222,55230,12904,17055,7799,2632,626,28515,8967,11849,2500,3891,1508
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,3-6,5432406,480202,4189405,339509,592005,62539,133931,23197,26233,2546,329070,39307,144003,10158,15000,2638
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,7-10,1122990,100202,692704,60302,305687,24914,13535,3183,4840,512,77553,8673,26393,2278,1620,273
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,11+,182494,21516,94231,10886,73218,8181,1466,438,726,120,7869,1397,4753,458,176,30
HH07,27,00,0000,State - MAHARASHTRA  (27),URBAN,Mean Household Size,4.93,4.11,4.71,3.89,6.18,5.32,4.24,3.62,4.82,4.27,5.11,4.27,4.97,4.22,3.94,2.91
