Table Name,State Code,District Code,Thasil Code,Area Name,Total/ Rural/ Urban,Household Size,Total Households With - Male Head,Total Households With - Female Head,Hindu - Male Head,Hindu - Female Head,Muslim - Male Head,Muslim - Female Head,Christian - Male Head,Christian - Female Head,Sikh - Male Head,Sikh - Female Head,Buddhist - Male Head,Buddhist - Female Head,Jain - Male Head,Jain - Female Head,Others - Male Head,Others - Female Head
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,Total,2041997,11250798,1777479,565999,126314,735627,134300,2178,216,992,117,14294,1240,1407,183,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,1,539613,194089,495720,5507,14012,13153,28576,66,39,41,23,160,287,50,48,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,2,387214,1262514,345091,37605,16476,75111,25053,250,49,90,23,980,166,153,30,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,3-6,990361,8716996,841434,409560,75737,573706,71574,1653,115,730,51,9718,567,1055,89,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,7-10,117057,1034503,90336,102908,17789,70992,8586,198,11,116,18,2920,187,137,16,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,11+,7752,42696,4898,10419,2300,2665,511,11,2,15,2,516,33,12,0,
HH07,33,00,0000,State - TAMIL NADU  (33),TOTAL,Mean Household Size,3.11,4.36,3.01,5.12,4.3,4.41,3.31,4.38,3.48,4.58,3.83,5.41,4.09,4.33,3.31,0
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,Total,818625,4679473,666440,419710,79692,419107,70474,1602,142,757,83,11955,801,1040,141,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,1,157697,67450,138275,3554,7450,6828,11523,47,21,29,13,81,74,30,30,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,2,152963,485248,129345,26137,10147,40036,13165,181,30,65,15,593,95,117,23,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,3-6,441345,3729603,352052,307365,48090,335097,40261,1233,82,561,36,8066,426,784,73,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,7-10,61606,379331,43886,74847,12256,35697,5181,132,7,89,17,2707,175,103,15,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,11+,5014,17841,2882,7807,1749,1449,344,9,2,13,2,508,31,6,0,
HH07,33,00,0000,State - TAMIL NADU  (33),URBAN,Mean Household Size,3.45,4.31,3.32,5.11,4.46,4.35,3.52,4.36,3.65,4.63,4.28,5.65,5.03,4.32,3.52,0
"Notes: 1. This table excludes institutional households 2.Total includes ""Religion Not Stated"".",,,,,,,,,,,,,,,,,,,,,,
